,ba_beer_id,ba_date,ba_user_name,rb_date,rb_user_name,time_diff
1856,47412,2010-08-21 10:00:00,callmemickey,2010-08-19 10:00:00,jaxson,2
1865,47693,2009-03-02 11:00:00,callmemickey,2009-04-01 10:00:00,hopdog,29
1872,47767,2010-11-11 11:00:00,thorpe429,2011-01-11 11:00:00,nickd717,61
1894,48179,2010-01-14 11:00:00,onenote81,2010-01-28 11:00:00,chaingangguy,14
1903,48254,2012-07-11 10:00:00,onenote81,2012-06-30 10:00:00,maxwelldeux,11
1910,48474,2010-05-18 10:00:00,thorpe429,2010-05-22 10:00:00,oakbluff,4
1945,49436,2009-05-12 10:00:00,bsp77,2009-05-28 10:00:00,hopdog,16
1967,49835,2009-05-17 10:00:00,ricke,2009-10-02 10:00:00,popery,138
1982,50047,2009-06-27 10:00:00,hopdog,2009-06-12 10:00:00,jrob21,15
1984,50055,2010-04-14 10:00:00,callmemickey,2010-04-19 10:00:00,mora2000,5
2023,51071,2009-01-23 11:00:00,spikester,2008-08-27 10:00:00,merlin48,149
2042,51498,2010-08-12 10:00:00,onenote81,2010-08-21 10:00:00,chaingangguy,9
2054,51758,2013-01-08 11:00:00,huhzubendah,2013-01-06 11:00:00,thorpe429,2
2072,52163,2009-10-09 10:00:00,koopa,2009-10-19 10:00:00,sammy,10
2091,52530,2009-10-28 11:00:00,koopa,2009-11-04 11:00:00,cakanator,7
2116,53005,2010-07-16 10:00:00,johnnnniee,2010-07-18 10:00:00,puboflyons,2
2126,53266,2009-10-10 10:00:00,johngalt1,2009-12-13 11:00:00,redave,64
2130,53518,2009-11-13 11:00:00,koopa,2010-01-13 11:00:00,corby112,61
2145,53958,2010-05-18 10:00:00,huhzubendah,2010-08-09 10:00:00,sean9689,83
2154,54142,2012-08-26 10:00:00,johnnnniee,2012-04-29 10:00:00,t0rin0,119
2164,54387,2010-05-31 10:00:00,callmemickey,2010-07-03 10:00:00,mora2000,33
2208,55440,2013-01-09 11:00:00,jonb5,2012-10-22 10:00:00,stevoj,79
2230,55914,2010-05-05 10:00:00,corby112,2010-04-06 10:00:00,jaxson,29
2242,56047,2011-09-18 10:00:00,huhzubendah,2011-09-21 10:00:00,thorpe429,3
2243,56071,2012-01-20 11:00:00,dlbrockmiller,2012-01-03 11:00:00,jrob21,17
2265,56474,2010-03-09 11:00:00,bsp77,2010-06-07 10:00:00,thetomg,89
2266,56498,2012-01-06 11:00:00,huhzubendah,2012-01-07 11:00:00,icehawk,1
2277,56665,2010-11-14 11:00:00,thorpe429,2011-02-18 11:00:00,nickd717,96
2284,56758,2010-04-17 10:00:00,yesyouam,2010-04-05 10:00:00,dalepryor,12
2329,57674,2010-08-12 10:00:00,chaingangguy,2010-05-01 10:00:00,jrob21,103
2345,57913,2012-04-16 10:00:00,huhzubendah,2012-04-19 10:00:00,thorpe429,3
2354,58111,2012-05-27 10:00:00,huhzubendah,2012-05-18 10:00:00,thorpe429,9
2356,58119,2010-05-08 10:00:00,johnnnniee,2010-07-04 10:00:00,mora2000,57
2365,58235,2011-01-31 11:00:00,huhzubendah,2011-04-21 10:00:00,thorpe429,79
2387,58721,2010-11-01 11:00:00,lucklys,2010-12-05 11:00:00,drpimento,34
2391,58770,2010-05-31 10:00:00,sammy,2010-08-18 10:00:00,mrmanning,79
2399,58811,2010-09-10 10:00:00,bluejacket74,2010-08-13 10:00:00,rye726,28
2413,58998,2012-06-18 10:00:00,sammy,2012-04-25 10:00:00,tom10101,54
2419,59163,2010-06-13 10:00:00,callmemickey,2010-06-23 10:00:00,regspeir,10
2431,59514,2013-09-19 10:00:00,anatole,2013-08-14 10:00:00,svd,36
2462,60366,2012-08-06 10:00:00,corby112,2012-05-27 10:00:00,smurf2055,71
2466,60403,2011-02-12 11:00:00,huhzubendah,2011-04-22 10:00:00,thorpe429,68
2491,60919,2011-01-20 11:00:00,duhast500,2010-11-09 11:00:00,nickd717,72
2499,61130,2010-10-04 10:00:00,redave,2010-07-29 10:00:00,mora2000,67
2514,61771,2010-09-11 10:00:00,johngalt1,2010-10-03 10:00:00,mora2000,22
2525,62060,2011-01-10 11:00:00,crossovert,2011-03-06 11:00:00,merlin48,55
2537,62283,2010-10-30 10:00:00,bsp77,2010-12-05 11:00:00,oakbluff,36
2549,62527,2010-10-14 10:00:00,thorpe429,2011-01-22 11:00:00,bluejacket74,100
2554,62600,2010-11-19 11:00:00,johngalt1,2010-12-21 11:00:00,mora2000,32
2567,62858,2011-10-27 10:00:00,thorpe429,2011-10-23 10:00:00,doughanson78,4
2570,62917,2010-11-09 11:00:00,chinchill,2010-11-10 11:00:00,elgiacomo,1
2573,62972,2010-11-16 11:00:00,thorpe429,2010-10-16 10:00:00,gatheringbrews,31
2575,63015,2010-11-03 11:00:00,mrmanning,2010-11-02 11:00:00,sammy,1
2577,63087,2012-07-24 10:00:00,sammy,2012-03-11 11:00:00,tom10101,134
2590,63455,2010-12-01 11:00:00,crossovert,2011-01-16 11:00:00,nickd717,46
2592,63490,2010-11-13 11:00:00,thorpe429,2011-01-14 11:00:00,bluejacket74,62
2595,63522,2010-11-14 11:00:00,thorpe429,2010-11-21 11:00:00,gatheringbrews,7
2603,63656,2011-01-27 11:00:00,chaingangguy,2011-01-14 11:00:00,raszputini,13
2611,63767,2011-02-04 11:00:00,arrogantb,2011-06-17 10:00:00,thorpe429,132
2636,64545,2011-03-21 11:00:00,huhzubendah,2011-04-24 10:00:00,thorpe429,33
2662,65038,2011-03-06 11:00:00,scottyshades,2011-04-09 10:00:00,icehawk,33
2687,65775,2012-07-12 10:00:00,davolebomb,2012-04-29 10:00:00,xmnwildx12,74
2707,66245,2012-12-14 11:00:00,arrogantb,2012-07-22 10:00:00,xmnwildx12,145
2713,66326,2011-02-22 11:00:00,thorpe429,2011-04-03 10:00:00,ngeunit1,39
2719,66451,2011-05-22 10:00:00,jcartamdg,2011-06-04 10:00:00,thorpe429,13
2724,66500,2011-02-20 11:00:00,sammy,2011-07-11 10:00:00,sarro,140
2728,66555,2011-04-24 10:00:00,arrogantb,2011-06-17 10:00:00,thorpe429,54
2767,67535,2012-01-02 11:00:00,huhzubendah,2012-02-04 11:00:00,thorpe429,33
2770,67582,2011-03-28 10:00:00,thorpe429,2011-03-21 11:00:00,crossovert,6
2784,67932,2012-08-04 10:00:00,tiong,2012-10-30 11:00:00,cpetrone84,87
2785,67970,2012-08-26 10:00:00,huhzubendah,2012-08-16 10:00:00,thorpe429,10
2794,68182,2011-04-17 10:00:00,sammy,2011-04-15 10:00:00,mrmanning,2
2797,68187,2011-04-17 10:00:00,sammy,2011-04-04 10:00:00,mrmanning,13
2799,68221,2012-01-02 11:00:00,huhzubendah,2012-02-04 11:00:00,thorpe429,33
2824,68783,2012-08-03 10:00:00,orangesol,2012-05-25 10:00:00,dfhhead25,70
2834,69003,2011-05-13 10:00:00,aasher,2011-09-28 10:00:00,thorpe429,138
2848,69407,2011-06-11 10:00:00,bsp77,2011-07-17 10:00:00,jcurtis55,36
2855,69522,2011-06-07 10:00:00,callmemickey,2011-06-10 10:00:00,beerman6686,3
2856,69522,2011-06-07 10:00:00,callmemickey,2011-06-10 10:00:00,regspeir,3
2874,69900,2011-06-10 10:00:00,huhzubendah,2011-08-04 10:00:00,thorpe429,55
2875,69902,2011-07-12 10:00:00,huhzubendah,2011-08-04 10:00:00,thorpe429,23
2879,69910,2013-05-31 10:00:00,supermeniscus,2013-06-09 10:00:00,svd,9
2892,70194,2011-07-31 10:00:00,thorpe429,2011-07-27 10:00:00,nickd717,4
2906,70349,2013-05-08 10:00:00,whatup14,2013-04-05 10:00:00,tom10101,33
2932,70833,2014-01-03 11:00:00,mr_pink_152,2014-03-07 11:00:00,blackhaddock,63
2948,71267,2011-08-03 10:00:00,illidurit,2011-07-28 10:00:00,popery,6
2973,71953,2011-10-27 10:00:00,jmarsh123,2011-09-23 10:00:00,damico,34
2985,72330,2012-05-27 10:00:00,arrogantb,2012-07-30 10:00:00,rangerred,64
2993,72570,2012-04-27 10:00:00,johngalt1,2012-04-22 10:00:00,smurf2055,5
3004,72762,2011-09-03 10:00:00,arrogantb,2011-12-11 11:00:00,johnnnniee,99
3012,72838,2012-09-18 10:00:00,scottyshades,2012-05-01 10:00:00,smurf2055,140
3019,72964,2011-12-02 11:00:00,johngalt1,2012-03-24 11:00:00,ngeunit1,113
3037,73312,2011-09-27 10:00:00,arrogantb,2011-10-05 10:00:00,chaingangguy,8
3038,73314,2012-02-12 11:00:00,huhzubendah,2012-02-13 11:00:00,thorpe429,1
3055,73630,2011-10-08 10:00:00,huhzubendah,2011-12-05 11:00:00,ratman197,58
3056,73630,2011-10-08 10:00:00,thorpe429,2011-12-05 11:00:00,ratman197,58
3067,73949,2011-10-13 10:00:00,chaingangguy,2011-10-12 10:00:00,elgiacomo,1
3083,74326,2014-11-09 11:00:00,pacnwdad,2014-10-10 10:00:00,stevoj,30
3099,74633,2012-03-31 10:00:00,huhzubendah,2012-04-09 10:00:00,thorpe429,9
3128,75317,2013-09-09 10:00:00,gn0sis,2013-09-23 10:00:00,sean9689,14
3142,75600,2011-11-22 11:00:00,jmdr,2011-11-18 11:00:00,torontoblue,4
